Category,Retailer,SKU,PN,URL,Price,Avg Rating,Rating Count
Refrigerator,Lowes,509262,WRF535SMBM,http://www.lowes.com/pd_509262-46-WRF535SMBM_1z11pm3__?productId=50059161&pl=1,1348,4.,1310 Reviews
Refrigerator,Best Buy,4980442,RF263BEAESR,http://www.bestbuy.com/site/samsung-25-6-cu-ft-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/4980442.p?id=1218587136380&skuId=4980442,1799.99,4.4,789
Range,Best Buy,8746096,LRE3083ST,http://www.bestbuy.com/site/lg-30-self-cleaning-freestanding-electric-convection-range-stainless-steel/8746096.p?id=1218890194936&skuId=8746096,799.99,4.7,228
Refrigerator,hhgregg,FFSS2614QS,FFSS2614QS,http://www.hhgregg.com/frigidaire-26-cu-ft-stainless-steel-side-by-side-refrigerator/item/FFSS2614QS,989.99,4.5,52
Refrigerator,Home Depot,1001053483,LMXS27626S,http://www.homedepot.com/p/LG-Electronics-26-8-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-LMXS27626S/205513537,2095.2,4.6,9494
Refrigerator,Lowes,509262,WRF535SMBM,http://www.lowes.com/pd_509262-46-WRF535SMBM_1z11pm3__?productId=50059161&pl=1,1348,4.51 / 5,1310 Reviews
Refrigerator,Best Buy,4980442,RF263BEAESR,http://www.bestbuy.com/site/samsung-25-6-cu-ft-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/4980442.p?id=1218587136380&skuId=4980442,1799.99,4.4,789
Range,Best Buy,8746096,LRE3083ST,http://www.bestbuy.com/site/lg-30-self-cleaning-freestanding-electric-convection-range-stainless-steel/8746096.p?id=1218890194936&skuId=8746096,799.99,4.7,228
Refrigerator,hhgregg,FFSS2614QS,FFSS2614QS,http://www.hhgregg.com/frigidaire-26-cu-ft-stainless-steel-side-by-side-refrigerator/item/FFSS2614QS,989.99,4.5,52
Refrigerator,Home Depot,1001053483,LMXS27626S,http://www.homedepot.com/p/LG-Electronics-26-8-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-LMXS27626S/205513537,2095.2,4.5,95
Refrigerator,Lowes,509262,WRF535SMBM,http://www.lowes.com/pd_509262-46-WRF535SMBM_1z11pm3__?productId=50059161&pl=1,1348,4.5,1310 Reviews
Refrigerator,Best Buy,4980442,RF263BEAESR,http://www.bestbuy.com/site/samsung-25-6-cu-ft-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/4980442.p?id=1218587136380&skuId=4980442,1799.99,4.4,789
Range,Best Buy,8746096,LRE3083ST,http://www.bestbuy.com/site/lg-30-self-cleaning-freestanding-electric-convection-range-stainless-steel/8746096.p?id=1218890194936&skuId=8746096,799.99,4.7,228
Refrigerator,hhgregg,FFSS2614QS,FFSS2614QS,http://www.hhgregg.com/frigidaire-26-cu-ft-stainless-steel-side-by-side-refrigerator/item/FFSS2614QS,989.99,4.5,52
Refrigerator,Home Depot,1001053483,LMXS27626S,http://www.homedepot.com/p/LG-Electronics-26-8-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-LMXS27626S/205513537,2095.2,4.6,94
Refrigerator,Lowes,509262,WRF535SMBM,http://www.lowes.com/pd_509262-46-WRF535SMBM_1z11pm3__?productId=50059161&pl=1,1348,4.5,13
Refrigerator,Best Buy,4980442,RF263BEAESR,http://www.bestbuy.com/site/samsung-25-6-cu-ft-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/4980442.p?id=1218587136380&skuId=4980442,1799.99,4.4,789
Range,Best Buy,8746096,LRE3083ST,http://www.bestbuy.com/site/lg-30-self-cleaning-freestanding-electric-convection-range-stainless-steel/8746096.p?id=1218890194936&skuId=8746096,799.99,4.7,228
Refrigerator,hhgregg,FFSS2614QS,FFSS2614QS,http://www.hhgregg.com/frigidaire-26-cu-ft-stainless-steel-side-by-side-refrigerator/item/FFSS2614QS,989.99,4.5,52
Refrigerator,Home Depot,1001053483,LMXS27626S,http://www.homedepot.com/p/LG-Electronics-26-8-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-LMXS27626S/205513537,2095.2,4.6,9494
Refrigerator,Lowes,509262,WRF535SMBM,http://www.lowes.com/pd_509262-46-WRF535SMBM_1z11pm3__?productId=50059161&pl=1,1348,4.5,1
Refrigerator,Best Buy,4980442,RF263BEAESR,http://www.bestbuy.com/site/samsung-25-6-cu-ft-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/4980442.p?id=1218587136380&skuId=4980442,1799.99,4.4,789
Range,Best Buy,8746096,LRE3083ST,http://www.bestbuy.com/site/lg-30-self-cleaning-freestanding-electric-convection-range-stainless-steel/8746096.p?id=1218890194936&skuId=8746096,799.99,4.7,228
Refrigerator,hhgregg,FFSS2614QS,FFSS2614QS,http://www.hhgregg.com/frigidaire-26-cu-ft-stainless-steel-side-by-side-refrigerator/item/FFSS2614QS,989.99,4.5,52
Refrigerator,Home Depot,1001053483,LMXS27626S,http://www.homedepot.com/p/LG-Electronics-26-8-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-LMXS27626S/205513537,2095.2,4.6,94
Refrigerator,Lowes,509262,WRF535SMBM,http://www.lowes.com/pd_509262-46-WRF535SMBM_1z11pm3__?productId=50059161&pl=1,1348,4.5,1310
Refrigerator,Best Buy,4980442,RF263BEAESR,http://www.bestbuy.com/site/samsung-25-6-cu-ft-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/4980442.p?id=1218587136380&skuId=4980442,1799.99,4.4,789
Range,Best Buy,8746096,LRE3083ST,http://www.bestbuy.com/site/lg-30-self-cleaning-freestanding-electric-convection-range-stainless-steel/8746096.p?id=1218890194936&skuId=8746096,799.99,4.7,228
Refrigerator,hhgregg,FFSS2614QS,FFSS2614QS,http://www.hhgregg.com/frigidaire-26-cu-ft-stainless-steel-side-by-side-refrigerator/item/FFSS2614QS,989.99,4.5,52
Refrigerator,Home Depot,1001053483,LMXS27626S,http://www.homedepot.com/p/LG-Electronics-26-8-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-LMXS27626S/205513537,2095.2,4.5,95
Refrigerator,Lowes,509262,WRF535SMBM,http://www.lowes.com/pd_509262-46-WRF535SMBM_1z11pm3__?productId=50059161&pl=1,1348,4.5,1310
Refrigerator,PCRichard,DGHF2360PF,DGHF2360PF,http://www.pcrichard.com/Frigidaire-Gallery/Frigidaire-Gallery-21-93-Cu-Ft-French-Door-Refrigerator-Smudge-Proof-Stainless-Steel/DGHF2360PF.pcrp?catId=201010,1997.99,2.3,
Refrigerator,Best Buy,4980442,RF263BEAESR,http://www.bestbuy.com/site/samsung-25-6-cu-ft-french-door-refrigerator-with-thru-the-door-ice-and-water-stainless-steel/4980442.p?id=1218587136380&skuId=4980442,1799.99,4.4,789
Range,Best Buy,8746096,LRE3083ST,http://www.bestbuy.com/site/lg-30-self-cleaning-freestanding-electric-convection-range-stainless-steel/8746096.p?id=1218890194936&skuId=8746096,799.99,4.7,228
Refrigerator,hhgregg,FFSS2614QS,FFSS2614QS,http://www.hhgregg.com/frigidaire-26-cu-ft-stainless-steel-side-by-side-refrigerator/item/FFSS2614QS,989.99,4.5,52
Refrigerator,Home Depot,1001053483,LMXS27626S,http://www.homedepot.com/p/LG-Electronics-26-8-cu-ft-French-Door-Refrigerator-in-Stainless-Steel-LMXS27626S/205513537,2095.2,4.6,94
Refrigerator,Lowes,509262,WRF535SMBM,http://www.lowes.com/pd_509262-46-WRF535SMBM_1z11pm3__?productId=50059161&pl=1,1348,4.5,1310
Refrigerator,PCRichard,DGHF2360PF,DGHF2360PF,http://www.pcrichard.com/Frigidaire-Gallery/Frigidaire-Gallery-21-93-Cu-Ft-French-Door-Refrigerator-Smudge-Proof-Stainless-Steel/DGHF2360PF.pcrp?catId=201010,1997.99,2.3,3
